UF,Cidade,Lat,Lon,ID,,
BA,Coaraci,-14.636996,-39.555609,2,,
BA,Cocos,-14.1819283,-44.5345092,2,,
BA,Conceição da Feira,-12.507835,-38.997823,2,,
BA,Conceição do Almeida,-12.768441,-39.166801,2,,
BA,Conceição do Coité,-11.559953,-39.280827,2,,
BA,Conceição do Jacuípe,-12.326831,-38.768433,2,,
BA,Conde,0,0,2,,
BA,Condeúba,-14.902227,-41.971829,2,,
BA,Contendas do Sincorá,-13.75369,-41.047953,2,,
BA,Coração de Maria,-12.233332,-38.748654,2,,
BA,Cordeiros,-15.035641,-41.930796,2,,
BA,Coribe,-13.8234286,-44.4585061,2,,
BA,Coronel João Sá,-10.2847,-37.919825,2,,
BA,Correntina,-13.347674,-44.633335,2,,
BA,Cotegipe,-12.022761,-44.256559,2,,
BA,Cravolândia,-13.353063,-39.803083,2,,
BA,Crisópolis,-11.505929,-38.15148,2,,
BA,Cristópolis,-12.224899,-44.421358,2,,
BA,Cruz das Almas,-12.667516,-39.100787,2,,
BA,Curaçá,-8.984577,-39.899671,2,,
BA,Dário Meira,-14.4229,-39.903129,2,,
BA,Dias d'Ávila,0,0,2,,
BA,Dom Basílio,-13.756499,-41.767663,2,,
BA,Dom Macedo Costa,-12.901582,-39.192259,2,,
BA,Elísio Medrado,-12.941743,-39.519087,2,,
BA,Encruzilhada,0,0,2,,
BA,Entre Rios,0,0,2,,
BA,Érico Cardoso,-13.421467,-42.1352,2,,
BA,Esplanada,0,0,2,,
BA,Euclides da Cunha,-10.507754,-39.015286,2,,
BA,Eunápolis,-16.371498,-39.582122,2,,
BA,Fátima,0,0,2,,
BA,Feira da Mata,-14.204405,-44.274424,2,,
BA,Feira de Santana,-12.2667,-38.9667,4,,
BA,Filadélfia,-10.740475,-40.14371,2,,
BA,Firmino Alves,-14.982334,-39.926859,2,,
BA,Floresta Azul,-14.862934,-39.657877,2,,
BA,Formosa do Rio Preto,-11.032812,-45.19298,2,,
BA,Gandu,-13.744101,-39.474651,2,,
BA,Gavião,0,0,2,,
BA,Gentio do Ouro,-11.434233,-42.507652,2,,
BA,Glória,0,0,2,,
BA,Gongogi,-14.319481,-39.46899,2,,
BA,Governador Mangabeira,-12.599415,-39.041207,2,,
BA,Guajeru,-14.54668,-41.938064,2,,
BA,Guanambi,-14.223066,-42.779943,2,,
BA,Guaratinga,-16.583276,-39.784713,2,,
BA,Heliópolis,-10.682539,-38.290664,2,,
BA,Iaçu,-12.766637,-40.205609,2,,
BA,Ibiassucê,-14.271126,-42.257026,2,,
BA,Ibicaraí,-14.857877,-39.591434,2,,
BA,Ibicoara,-13.405918,-41.283989,2,,
BA,Ibicuí,0,0,2,,
BA,Ibipeba,-11.643775,-42.019515,2,,
BA,Ibipitanga,-12.880435,-42.485568,2,,
BA,Ibiquera,-12.644354,-40.933774,2,,
BA,Ibirapitanga,-14.164898,-39.378737,2,,
BA,Ibirapuã,-17.683151,-40.112907,2,,
BA,Ibirataia,-14.064316,-39.645935,2,,
BA,Ibitiara,-12.650181,-42.217946,2,,
BA,Ibititá,-11.541426,-41.97481,2,,
BA,Ibotirama,-12.177876,-43.21669,2,,
BA,Ichu,-11.743065,-39.190523,2,,
BA,Igaporã,-13.774025,-42.715508,2,,
BA,Igrapiúna,-13.829543,-39.136129,2,,
BA,Iguaí,-14.752754,-40.089417,2,,
BA,Ilhéus,-14.793045,-39.04602,2,,
BA,Inhambupe,-11.780955,-38.355048,2,,
BA,Ipecaetá,-12.302846,-39.306921,2,,
BA,Ipiaú,-14.12263,-39.735252,2,,
